PERMNO,date,PRC,SHROUT
14593,20130430,442.78000,938649
14593,20130531,449.73499,938649
14593,20130628,396.53000,908442
14593,20130731,452.53000,908497
14593,20130830,487.21600,908497
14593,20130930,476.75000,899213
14593,20131031,522.70203,899738
14593,20131129,556.07001,899738
14593,20131231,561.02002,892447
14593,20140131,500.60001,891989
14593,20140228,526.23999,891989
14593,20140331,536.73999,861745
14593,20140430,590.09003,861381
14593,20140530,633.00000,861381
14593,20140630,92.93000,5989171
14593,20140731,95.60000,5987867
14593,20140829,102.50000,5987867
14593,20140930,100.75000,5866161
14593,20141031,108.00000,5864840
14593,20141128,118.93000,5864840
14593,20141231,110.38000,5826419
14593,20150130,117.16000,5824748
14593,20150227,128.46001,5824748
14593,20150331,124.43000,5824748
14593,20150430,125.15000,5762278
14593,20150529,130.28000,5762278
14593,20150630,125.42500,5705400
14593,20150731,121.30000,5702722
14593,20150831,112.76000,5702722
14593,20150930,110.30000,5702722
14593,20151030,119.50000,5575331
14593,20151130,118.30000,5575331
14593,20151231,105.26000,5544487
14593,20160129,97.34000,5544583
14593,20160229,96.69000,5544583
14593,20160331,108.99000,5478446
14593,20160429,93.74000,5477425
14593,20160531,99.86000,5477425
14593,20160630,95.60000,5393165
14593,20160729,104.21000,5388443
14593,20160831,106.10000,5388443
14593,20160930,113.05000,5388443
14593,20161031,113.54000,5332313
14593,20161130,110.52000,5332313
14593,20161230,115.82000,5332313
