PERMNO,date,TICKER,PRC,SHROUT
14593,20131231,AAPL,561.02002,892447
14593,20140131,AAPL,500.60001,891989
14593,20140228,AAPL,526.23999,891989
14593,20140331,AAPL,536.73999,861745
14593,20140430,AAPL,590.09003,861381
14593,20140530,AAPL,633.00000,861381
14593,20140630,AAPL,92.93000,5989171
14593,20140731,AAPL,95.60000,5987867
14593,20140829,AAPL,102.50000,5987867
14593,20140930,AAPL,100.75000,5866161
14593,20141031,AAPL,108.00000,5864840
14593,20141128,AAPL,118.93000,5864840
14593,20141231,AAPL,110.38000,5826419
14593,20150130,AAPL,117.16000,5824748
14593,20150227,AAPL,128.46001,5824748
14593,20150331,AAPL,124.43000,5824748
14593,20150430,AAPL,125.15000,5762278
14593,20150529,AAPL,130.28000,5762278
14593,20150630,AAPL,125.42500,5705400
14593,20150731,AAPL,121.30000,5702722
14593,20150831,AAPL,112.76000,5702722
14593,20150930,AAPL,110.30000,5702722
14593,20151030,AAPL,119.50000,5575331
14593,20151130,AAPL,118.30000,5575331
14593,20151231,AAPL,105.26000,5544487
14593,20160129,AAPL,97.34000,5544583
14593,20160229,AAPL,96.69000,5544583
14593,20160331,AAPL,108.99000,5478446
14593,20160429,AAPL,93.74000,5477425
14593,20160531,AAPL,99.86000,5477425
14593,20160630,AAPL,95.60000,5393165
14593,20160729,AAPL,104.21000,5388443
14593,20160831,AAPL,106.10000,5388443
14593,20160930,AAPL,113.05000,5388443
14593,20161031,AAPL,113.54000,5332313
14593,20161130,AAPL,110.52000,5332313
14593,20161230,AAPL,115.82000,5332313
