Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
EXPD,"Expeditors International,Wash",Industrials,46.39,1.54,20.97,2.21,9.98,38.14,50.08,8.78,0.71604,1.31,4.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD
MNK,Mallinckrodt plc,Health Care,74.31,,,-0.98,45.18,72.28,134.26,8.72,1.22,2.46,1.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MNK
DRI,Darden Restaurants,Consumer Discretionary,68.66,3.17,12.56,5.47,18.42,46.7,75.6,8.7,0.774,1.32,3.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI
CINF,Cincinnati Financial,Financials,52.75,3.48,13.32,3.96,39.62,45.09,56.94,8.66,1.02,1.7,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
GMCR,Keurig Green Mountain,Consumer Staples,56.05,2.03,16.57,3.38,18.14,45.25,158.87,8.63,1.12,1.88,3.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GMCR
NDAQ,Nasdaq OMX Group,Financials,50.75,1.98,24.99,2.03,33.84,38.43,54.68,8.57,1.02,2.54,1.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDAQ
TSS,Total System Services,Information Technology,46.45,0.86,26.59,1.75,9.65,28.54,48.67,8.54,0.63747,3.33,4.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSS
LLL,L-3 Communications Holdings,Industrials,106.17,2.43,15.49,6.86,64.32,101.11,132.92,8.53,1.19,0.74,1.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLL
IFF,International Flavors/Fragr,Materials,104.81,2.13,19.85,5.28,20.1,91.64,123.08,8.45,0.66376,2.78,5.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IFF
CSC,Computer Sciences,Information Technology,60.54,1.51,1407.91,0.04,21.66,54.23,73.29,8.37,1.02,0.73,2.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSC
NEM,Newmont Mining,Materials,15.74,0.59,16.33,0.96,21.3,15.39,27.9,8.33,3.16,1.15,0.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEM
HBAN,Huntington Bancshares,Financials,10.34,2.32,13.26,0.78,7.61,8.8,11.9,8.3,0,3,1.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN
KORS,Michael Kors Holdings,Consumer Discretionary,42.9,,10.1,4.25,10.84,36.63,79.7,8.27,1.38,1.89,4.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KORS
SPLS,Staples,Consumer Discretionary,12.745,3.55,157.346,0.081,8.104,11.39,19.4,8.2,1.39,0.399,1.671,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPLS
IPG,Interpublic GroupCompanies,Consumer Discretionary,19.895,2.38,16.057,1.239,4.834,16.37,22.69,8.16,0.9885,1.086,4.162,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG
GT,Goodyear Tire & Rub,Consumer Discretionary,29.635,0.9,3.017,9.824,14.737,18.87,32.95,7.98,2.37,0.48,2.082,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GT
FFIV,F5 Networks,Information Technology,112.17,,22.77,4.93,18.69,106.82,136.11,7.96,0.59647,4.37,6.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV
VRSN,VeriSign,Information Technology,70.03,0,27.65,2.53,-8.72,52.1,71.82,7.95,0.63812,7.82,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSN
COH,Coach,Consumer Discretionary,28.68,4.64,19.78,1.45,9,27.62,43.87,7.93,0.9728,1.93,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COH
MAT,Mattel,Consumer Discretionary,23.02,6.6,19.23,1.2,7.57,20.5,32.9,7.79,0.94254,1.33,3.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAT
CNP,CenterPoint Energy,Utilities,17.98,5.48,14.74,1.22,10.57,17.48,25.56,7.74,1.87,0.96,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
UNM,Unum Group,Financials,31.39,2.34,20.56,1.53,34.53,29.81,38.15,7.74,0.7167,0.74,0.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNM
KLAC,KLA-Tencor Corp,Information Technology,48.63,4.13,21.71,2.24,2.67,44.95,84.21,7.66,0.77768,2.75,18.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KLAC
OKE,ONEOK,Energy,36.6001,6.77,26.1056,1.402,2.476,31.43,67.11,7.66,1.39,0.7711,14.7375,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OKE
VAR,Varian Medical Systems,Health Care,77.2,0,18.73,4.12,17.37,76.73,96.67,7.62,0.65873,2.51,4.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VAR
FTI,FMC Technologies,Energy,32.99,,13.03,2.53,11.3,27.94,57.87,7.57,1.23,1.01,2.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTI
ETFC,E Trade Financial,Financials,26.05,,16.58,1.57,19.69,18.2,31.48,7.56,0,4.33,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETFC
SCG,SCANA Corp,Utilities,52.62,4.16,10.04,5.24,37.45,47.77,65.57,7.52,1.53,1.61,1.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCG
NWSA,News Corporation,Consumer Discretionary,12.899,1.55,,-0.26,20.54,12.67,17.55,7.49,0.786,0.87,0.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWSA
GAS,AGL Resources,Utilities,61.31,3.37,19.63,3.12,32.88,46.36,63.37,7.36,1.22,1.67,1.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GAS
LUK,Leucadia National,Financials,20.05,1.23,17.27,1.16,29.06,19.93,25.39,7.35,1.74,0.59,0.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUK
XRAY,DENTSPLY International,Health Care,52.05,0.55,27.8,1.87,16.56,43.83,57.61,7.28,0.57269,2.67,3.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRAY
QRVO,Qorvo,Information Technology,48.66,,34.51,1.41,41.35,45,88.35,7.28,0.57951,3.61,1.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QRVO
AES,AES Corp,Utilities,10.62,3.66,8.34,1.27,5.66,10.62,14.56,7.25,3.98,0.45,1.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
CMA,Comerica,Financials,40.68,2.08,13.2,3.08,42.17,40.09,53.45,7.24,0,2.88,0.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMA
TMK,Torchmark Corp,Financials,56.67,0.95,13.94,4.06,34.38,49.71,63.26,7.09,0.84005,1.8,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMK
PCL,Plum Creek Timber,Financials,40.36,4.39,36.99,1.09,8.77,36.95,45.26,7.05,0.485,4.51,4.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCL
